Topic,Data,authorized_identities
Board Meeting,"CEO’s Report
Discussion: President Smith recommends that if we are not able to find a new facility by the end of this month, the unit should continue to hold board meetings in the current location over the summer. Board briefly discussed the options.
MOTION: Johnson moved to extend the existing meeting arrangements for the next three months. Seconded and passed without dissent.
Discussion: Smith announced that the ACBL has introduced a new education program for unit board members. The seminar will be held at the upcoming NABC. It was recommended that all board members who will be at the NABC take advantage of the opportunity and that the unit board should reimburse any attendees for the fee.
NABC Action Item: Every board member who is attending NABC should participate on a conference call held on 11/23 at 2:00 PM.
MOTION: Brown moved that the board shall reimburse the fee to any board member who attends the seminar. Seconded and passed. Dissenting on the record: Moneypenny, Adams.
Note: Recording dissenting votes is not necessary and must be managed. Dissenting votes should only be included if a member requests that they go on record with their dissenting vote.",Governance
Board Meeting,"Treasurer’s Report:
Financial Reports
Committee and the Senior Center’s Accountant presented quarterly financial reports and discussed the “Schedule” (narrative that accompanies each report. There was general discussion on the organization’s financial condition and outlook as reflected in the reports, with the following being noted as issues and concerns and the action that will be taken to address them:
Issue/Concern Action Item Timeframe Responsibility •
•
Accounting Review
Discussion:
Treasurer Moneypenny explained that our accountant has reviewed the unit’s bookkeeping procedures and found them to be satisfactory, in preparation for the upcoming yearly financial audit.
990 Review
Discussion: Moneypenny reported that the unit’s IRS form 990 is now available for viewing on the unit’s website. This publication on the web fulfills requirements for making the form 990 available to the public. Moneypenny reviewed highlights, trends and issues from the balance sheet, income statement and cash flow statement.
MOTION: Bond moved to accept the treasurer’s report. Seconded and passed without dissent.",Governance
Board Meeting,"Committee Reports:
Board Development Committee's report provided by Committee Chair Roberts:
Board Retreat
Discussion: Roberts reminded the board of the scheduled retreat coming up in three months, and provided a drafted retreat schedule. The board provided feedback on the agenda and the consensus was that, outside of making a few minor changes, the committee should move forward as planned. No board action required.
Bylaws
Discussion: Roberts presented the board with a draft of the reworded Bylaws paragraph that would allow the board to conduct actions over electronic mail. Roberts suggested review and a resolution to change the Bylaws accordingly. The consensus was to first consult legal counsel to verify if the proposed change is consistent with our state statute. Roberts agreed to accept this action and notify members of the result at the next board meeting.
Bylaws Action item: Roberts will contact legal counsel and provide update at the next meeting.",Governance
Board Meeting,"Sub: Outcome of Board Meeting
The Board of Directors (""Board"") of Wipro Limited, have at their meeting held over January
11-12, 2024, considered and approved the following:
1. Financial results of the Company for the quarter ended December 31 , 2023, as per
Regulation 33 of the SEBI (Listing Obligations and Disclosure Requirements)
Regulations, 2015.
2. Payment of interim dividend of t 1/- per equity share of par value t 21- each to the
Members of the Company as on January 24, 2024, being the Record Date. The
payment of Interim Dividend will be made on or before February 10, 2024.
Please find enclosed the Audited Standalone and Consolidated financial results under lndAS
and Audited Consolidated financial results under IFRS for the quarter ended December 31 ,
2023, together with the Auditor's Report, as approved by the Board today. The financial results
are also being made available on the Company's website at www.wipro.com.
The Board Meeting commenced on January 11 , 2024 at 4:15 PM, and finally concluded on
January 12, 2024 at 3:30 PM.
Thanking You,
For Wipro Limited",Governance
Board Meeting,"The annual review and the financial statements were approved, as were the proposed dividend of CHF 2.95 per share and the capital reduction. The dividend represents an increase of 15 centimes over the previous year, marking 28 consecutive years of dividend growth.
Nestlé S.A. shareholders approved all of the Board of Directors' proposals.
Rainer Blair, President and CEO of Danaher Corporation, a global science and technology company, and Marie-Gabrielle Ineichen-Fleisch, former State Secretary and Director of the Swiss State Secretariat for Economic Affairs (SECO), were elected to Nestlé S.A.'s Board of Directors.
After 10 years of Board service, Eva Cheng decided not to stand for re-election for personal reasons. On behalf of the Board, the Chairman sincerely thanked Eva Cheng for her highly relevant and valuable contributions.
The Chairman and all other members of the Board of Directors were re-elected for a term of office until the end of the next Annual General Meeting. Shareholders also elected the members of the Compensation Committee for a one-year term.
Shareholders also approved the total compensation budgets for Nestlé's Board of Directors and Executive Board as well as the revision to the Articles of Association.
Ernst & Young Ltd was re-elected as statutory auditors for the financial year 2023.",Governance
Internal Product Roadmap,,Product
Enterprise Agreement,"This Enterprise License Agreement (""Agreement"") is a contract between Rosetta Stone (“Licensor”) and
the enterprise end user licensee organization listed as the “Customer” (for purposes hereof, “Licensee”)
on the print or online order form or other order documentation provided by Licensor or an authorized
Licensor selling entity (the “Order Form”), which incorporates by reference this Agreement and, together
with the Order Form, governs Licensee’s use of the Rosetta Stone®
products, materials, and/or services.
The license granted hereunder is conditioned upon Licensee’s acceptance of the terms set forth herein.
For good and valuable consideration, the parties hereto, intending to be legally bound, hereby agree as
follows:
1. DEFINITIONS:
“Authorized End User” means employees, students, or other personnel designated by Licensee with
access to the Rosetta Stone Product.
“Enterprise Administrators” shall mean the Authorized End Users designated by the Licensee to act as
administrators for Licensee, with responsibility on behalf of Licensee for overseeing and managing the
access of Authorized End Users to the Rosetta Stone Product. Licensee shall provide Licensor with the
names of such Enterprise Administrators.
“Password” means, collectively, the user ID, default password assigned to an Authorized End User and/or
any personalized password created by such Authorized End User (if this option is available).
“Rosetta Stone” means Rosetta Stone Ltd. and/or any of its subsidiaries or affiliates as set out in the
Order Form.
“Rosetta Stone Product” means the language learning product(s) and/or services offered under the
ROSETTA STONE®
or other Rosetta Stone-owned brand as specified in the Order Form, to include,
without limitation, Rosetta Stone online Products, all of which are offered and provisioned by Licensor as
SaaS-based subscriptions in a multi-tenant, shared database architecture, where individualized clientdedicated infrastructure and/or processing is not part of the Product or services offering, as well as any
software (inclusive of any Rosetta Stone language learning and language learning management software,
and any third party software), companion materials, password-protected access to a Licensor website
(the “Website”), and any related products, materials, training, services, and documentation (together with
any updates to, or new releases of, the foregoing that are made available to Licensee by Licensor)
licensed by Licensor to Licensee under the applicable Order Form and pursuant to this Agreement.",Legal
Enterprise Agreement,"BY PLACING AN ORDER WITH LICENSOR, CLICKING THE ""SUBMIT"" BUTTON OF A LICENSOR
WEBSITE, INSTALLING OR OTHERWISE USING THE ROSETTA STONE PRODUCT, OR PAYING A
ROSETTA STONE INVOICE, LICENSEE AGREES TO BE BOUND BY THE TERMS OF THIS LICENSE
AND THE APPLICABLE ROSETTA STONE ORDER FORM, WHICH HAVE BEEN MADE AVAILABLE
TO THE LICENSEE FOR REVIEW, AND SHALL BE DEEMED TO HAVE ACCEPTED THIS LEGAL
AGREEMENT IN FULL. YOU, THE INDIVIDUAL COMPLETING THE ORDER FOR, OR
INSTALLATION OF, OR PAYMENT FOR, OR COMMENCING THE USE OF, THE ROSETTA STONE
PRODUCT ON BEHALF OF LICENSEE, REPRESENT AND WARRANT THAT YOU ARE A
REPRESENTATIVE OF LICENSEE WITH AUTHORIZATION TO ENTER INTO THIS AGREEMENT ON
BEHALF OF LICENSEE.
THIS AGREEMENT CONTAINS DISCLAIMERS OF WARRANTIES (SEE SECTIONS 9.A. AND 9.B.
BELOW) AND LIMITATIONS OF LIABILITY (SEE SECTION 9.C. BELOW). THESE PROVISIONS ARE
AN ESSENTIAL PART OF THIS AGREEMENT. IF LICENSEE DOES NOT AGREE TO THESE
REV05012017
PROVISIONS OR ANY OF THE OTHER TERMS OF THIS AGREEMENT, DO NOT INSTALL, ACCESS
OR USE THE ROSETTA STONE PRODUCT.
2. PURPOSE: Licensor has developed the Rosetta Stone Product that is marketed under its ROSETTA
STONE or other Rosetta Stone-owned brand. Licensor makes the functionality of the Rosetta Stone
Product available to its enterprise end users remotely in the following ways: (a) by means of passwordprotected access to the Website, or (b) by means of Licensee’s electronic learning management system
which provides the software-based infrastructure to enable the access and delivery of Licensor’s
enterprise-wide learning activities (“LMS”).",Legal
Enterprise Agreement,"3. LICENSE, INSTALLATION AND USE:
A. License: The Rosetta Stone Product is licensed, not sold. If Licensee accepts this Agreement,
Licensor grants Licensee a limited, revocable, nonexclusive license to use the Rosetta Stone
Product, subject to the terms and conditions set forth herein and the applicable Order Form. For
purposes of the preceding sentence, “use” of the Rosetta Stone Product means access by an
Authorized End User to the functionality of the Rosetta Stone Product by means of passwordprotected access to a Rosetta Stone Website, or, to the extent supported, via Licensee’s LMS, SSO
or via such other arrangement or media expressly agreed to by Rosetta Stone in the applicable Order
Form, for language learning purposes only.
B. Rosetta Stone Online Product: Rosetta Stone’s SaaS-based online solutions grant Licensee and
its Authorized End Users the right to access the applicable Rosetta Stone Product according to the
terms of the applicable Order Form as follows:
i. Licenses: The specific license term and any maximum number of Authorized End Users of the
Rosetta Stone Product shall be as specified on the applicable Order Form. As applicable, each
Authorized End User may be required to specify his or her unique user name or identifier when
first accessing the Rosetta Stone Product in the context of the specified license, and will then
become a single Authorized End User for purposes of the above. Information regarding the
counting mechanism may be accessible by the Licensee from a Rosetta Stone Online
administrative portal, or may be obtained from Rosetta Stone Customer Support.
ii. Internet & Systems Requirements: Continuous Internet access, connectivity, and certain
minimum systems and technical requirements are required to access and use the Rosetta Stone
Product, which are not provide by Licensor and are the sole responsibility of Licensee and/or its
Authorized End Users. Information regarding minimum systems and technical requirements for
the Rosetta Stone Product may be obtained by Licensee from the Rosetta Stone website or
Rosetta Stone Customer Support.
iii. Terms of Use: Use of Rosetta Stone Online Product is subject to the Authorized End User’s
acceptance of the standard Terms of Use and Interactive Privacy Policy, available at
www.rosettastone.com/agreements.",Legal
Enterprise Agreement,"SECURITY AND PASSWORDS:
A. Authorized End Users: Where applicable, Licensor will provide Licensee with a username and/or
password for each Authorized End User. At the initial login, each Authorized End User will be given
the option to change the default password provided by Licensor to a personalized password that will
enable such Authorized End User to access the Rosetta Stone Product in accordance with this
Agreement. If Licensee is a Rosetta Stone Online User, the transmission of any Authorized End
User’s name or password to allow any other person to use Rosetta Stone Online is expressly
prohibited.
B. Enterprise Administrators:
REV05012017
Licensee will designate at least one Licensee Authorized End Users to act as Enterprise
Administrator for the licenses. The Enterprise Administrator will be granted administrator privileges
for the account, enabling the Enterprise Administrator to assign, disable and otherwise administer all
other Authorized User access. Licensee represents, warrants and agrees that each Enterprise
Administrator shall have authority, on behalf of Licensee, to perform his or her duties, and serve as
primary point of contact to and direct Licensor with respect to Product and service operations to
Licensee and its Authorized End Users. If, during the term of the Agreement, a then-current
Enterprise Administrator ceases to be an active employee of Licensee or ceases to serve as an
Enterprise Administrator, and if there are no remaining Enterprise Administrators, Licensee shall
promptly appoint another Authorized End User as an Enterprise Administrator. When an Enterprise
Administrator accesses the Rosetta Stone Product using his or her Password, the Rosetta Stone
Product shall provide the Enterprise Administrator with certain administrative capabilities with respect
to Licensee’s use of the Rosetta Stone Product that other Authorized End Users will not have,
including the ability to cancel Password access and thereby deny access to the Product through use
of such Password. Using such functionality provided by the Product, Licensee agrees that the
Enterprise Administrator shall promptly deactivate and cancel Password access of any Authorized
End User who (i) ceases to be employed by Licensee, (ii) Licensee no longer wishes to have access
to the Product, or (iii) Licensee knows or reasonably believes is causing or may cause Licensee to
breach any provision of this Agreement or is in any way mishandling Passwords or access. Licensee
shall notify Licensor at the time a password access is deactivated or cancelled for any of the reasons
specified in clauses (i) through (iii) above.
",Legal
